Attempt Distance          Time         TTime
      0        4           292           368
      1        2            44           106
      2       -1            97           232
      3       12          3318         20070
      4        6           253          2071
      5        7           108           269
      6       14          1623         32614
      7        8           211           555
      8        8           289           938
      9       -1            11            21
     10        9           913         13882
     11        9           283          8306
     12       -1          1185         21729
     13        5           119          1377
     14        8           217           275
     15       -1             9            13
     16        7           292           604
     17       11           541          2672
     18       10           154           855
     19       -1           828         11701
     20       -1          1005         11116
     21       -1            11            11
     22        9           483          5685
     23       -1            12            10
     24       11           649          3633
     25       13           599          6809
     26       -1          1021         10904
     27       -1            10             9
     28       -1            11            16
     29       -1           954         12190
     30       -1           986          9607
     31       -1            12            13
     32       -1          1001         17397
     33       -1          1006          9975
     34       -1             9             5
     35       12           586          1454
     36       10           201          1173
     37       -1             8             9
     38       -1           988          9627
     39        9           548          5744
     40       -1            11             6
     41       -1            11             5
     42        8           211           318
     43       -1           996          9716
     44        4            61            50
     45        9           442          4523
     46       -1           971          9766
     47       11           850          6058
     48       -1           937          9777
     49        9           427          4271
